DATE,LFWA64TTUSM647S
01-01-1977,135145847.1
01-02-1977,135351123.8
01-03-1977,135573966.5
01-04-1977,135838914.2
01-05-1977,136139485.0
01-06-1977,136339400.0
01-07-1977,136553487.6
01-08-1977,136723323.5
01-09-1977,136839343.3
01-10-1977,137170462.4
01-11-1977,137348689.2
01-12-1977,137498215.2
01-01-1978,137670910.1
01-02-1978,137858567.2
01-03-1978,138032251.4
01-04-1978,138106615.8
01-05-1978,138359395.4
01-06-1978,138701828.6
01-07-1978,138823143.6
01-08-1978,138953121.0
01-09-1978,139102986.3
01-10-1978,139333230.8
01-11-1978,139569983.2
01-12-1978,139787156.4
01-01-1979,140085089.3
01-02-1979,140276686.3
01-03-1979,140436185.6
01-04-1979,140465279.9
01-05-1979,140678990.3
01-06-1979,141078920.2
01-07-1979,141179880.4
01-08-1979,141309899.6
01-09-1979,141485358.2
01-10-1979,141726265.8
01-11-1979,141943516.1
01-12-1979,142155961.7
01-01-1980,142426112.5
01-02-1980,142601560.4
01-03-1980,142750495.3
01-04-1980,142870760.9
01-05-1980,143194376.2
01-06-1980,143422001.7
01-07-1980,143583866.6
01-08-1980,143810768.0
01-09-1980,143905872.1
01-10-1980,144014420.4
01-11-1980,144156735.7
01-12-1980,144233227.3
01-01-1981,144349219.2
01-02-1981,144476202.6
01-03-1981,144664958.1
01-04-1981,144844881.1
01-05-1981,145090715.1
01-06-1981,145392240.2
01-07-1981,145482278.7
01-08-1981,145579202.4
01-09-1981,145640930.2
01-10-1981,145815216.3
01-11-1981,145970618.5
01-12-1981,146087023.9
01-01-1982,145928919.7
01-02-1982,146021042.6
01-03-1982,146212042.3
01-04-1982,146535781.3
01-05-1982,146812493.7
01-06-1982,146955425.9
01-07-1982,147079487.4
01-08-1982,147240664.5
01-09-1982,147389269.3
01-10-1982,147580799.5
01-11-1982,147629851.7
01-12-1982,147748898.7
01-01-1983,147226178.0
01-02-1983,147330982.6
01-03-1983,147636881.4
01-04-1983,147974863.3
01-05-1983,148251453.6
01-06-1983,148287658.6
01-07-1983,148471098.3
01-08-1983,148602898.4
01-09-1983,148727876.0
01-10-1983,148853388.3
01-11-1983,148924513.5
01-12-1983,149073264.5
01-01-1984,149123150.9
01-02-1984,149270403.3
01-03-1984,149423864.6
01-04-1984,149650511.9
01-05-1984,149742204.9
01-06-1984,149941733.8
01-07-1984,150000004.6
01-08-1984,150085598.2
01-09-1984,150264980.1
01-10-1984,150353621.0
01-11-1984,150518551.0
01-12-1984,150717223.0
01-01-1985,150512289.0
01-02-1985,150627848.2
01-03-1985,150782732.7
01-04-1985,150942482.1
01-05-1985,151019657.6
01-06-1985,151215320.2
01-07-1985,151229593.0
01-08-1985,151338051.7
01-09-1985,151470879.7
01-10-1985,151609528.0
01-11-1985,151784862.7
01-12-1985,151944880.1
01-01-1986,152391590.8
01-02-1986,152474665.7
01-03-1986,152675450.0
01-04-1986,152718422.4
01-05-1986,152905742.9
01-06-1986,152989039.5
01-07-1986,153086128.1
01-08-1986,153260976.7
01-09-1986,153425374.2
01-10-1986,153546514.4
01-11-1986,153735606.8
01-12-1986,153833785.1
01-01-1987,153904222.6
01-02-1987,154102145.7
01-03-1987,154173400.9
01-04-1987,154370708.2
01-05-1987,154519224.5
01-06-1987,154600978.0
01-07-1987,154689933.9
01-08-1987,154798240.1
01-09-1987,154927947.3
01-10-1987,155015305.7
01-11-1987,155189487.8
01-12-1987,155280591.2
01-01-1988,155411689.7
01-02-1988,155551285.1
01-03-1988,155611785.9
01-04-1988,155671139.7
01-05-1988,155815910.6
01-06-1988,155987507.7
01-07-1988,156087204.7
01-08-1988,156153237.9
01-09-1988,156273467.0
01-10-1988,156357774.1
01-11-1988,156454086.5
01-12-1988,156549650.3
01-01-1989,156745947.9
01-02-1989,156879753.2
01-03-1989,156972898.8
01-04-1989,156910892.1
01-05-1989,156986993.1
01-06-1989,157082217.8
01-07-1989,157147232.8
01-08-1989,157272826.1
01-09-1989,157504590.2
01-10-1989,157552281.2
01-11-1989,157678733.3
01-12-1989,157818453.7
01-01-1990,159330528.5
01-02-1990,159504671.4
01-03-1990,159566354.7
01-04-1990,159630343.4
01-05-1990,159657481.8
01-06-1990,159780676.5
01-07-1990,159818424.5
01-08-1990,159974035.0
01-09-1990,160242673.8
01-10-1990,160334200.7
01-11-1990,160562864.0
01-12-1990,160710381.9
01-01-1991,160506259.7
01-02-1991,160610466.9
01-03-1991,160826094.9
01-04-1991,160864972.0
01-05-1991,161036241.8
01-06-1991,161131629.8
01-07-1991,161186355.1
01-08-1991,161396073.1
01-09-1991,161641179.9
01-10-1991,161727030.7
01-11-1991,161888633.5
01-12-1991,162026263.9
01-01-1992,161716285.8
01-02-1992,161880270.6
01-03-1992,162081143.0
01-04-1992,162320903.7
01-05-1992,162461867.7
01-06-1992,162386120.6
01-07-1992,162486674.9
01-08-1992,162850411.8
